SSO_ACCOUNT	COUNT
FTTB/0850457464	1
FTTB/0850487581	1
FTTB/0850554518	1
FTTB/0850557697	1
FTTB/0850559128	1
FTTB/0850560642	1
FTTB/0850561700	1
FTTB/0850562067	1
FTTB/0850566246	3
FTTB/0850568506	1
FTTB/0850570515	1
FTTB/0850571711	1
FTTB/0850571767	1
FTTB/0850573938	1
FTTB/0850575130	2
FTTB/0850579347	1
FTTB/0850579548	1
FTTB/0850580306	2
FTTB/0850580768	1
FTTB/0850580953	1
FTTB/0850581641	1
FTTB/0850582652	1
FTTB/0850583410	1
FTTB/0850586234	2
FTTB/0850588588	1
FTTB/0850588654	2
FTTB/0850589616	1
FTTB/0850590570	1
FTTB/0850592318	1
FTTB/0850593086	1
FTTB/0850594081	1
FTTB/0850594885	1
FTTB/0850595732	1
FTTB/0850595929	1
FTTB/0850596131	1
FTTB/0850596914	1
FTTB/0850598077	1
FTTB/0850599073	1
FTTB/0850599867	1
FTTB/0850600474	1
FTTB/0850601391	1
FTTB/0850601399	1
FTTB/0850602396	1
FTTB/0850602485	1
FTTB/0850604409	1
FTTB/0850606052	1
FTTB/0850606205	1
FTTB/0850606676	1
FTTB/0850607566	1
FTTB/0850609502	2
FTTB/0850613103	1
FTTB/0850613411	2
FTTB/0850613723	1
FTTB/0850614560	1
FTTB/0850615640	1
FTTB/0850615736	1
FTTB/0850615909	1
FTTB/0850617268	1
FTTB/0850619027	1
FTTB/0850619399	1
FTTB/0850619920	1
FTTB/0850620317	2
FTTB/0850621771	1
FTTB/0850621977	2
FTTB/0850622332	2
FTTB/0850623238	2
FTTB/0850623275	1
FTTB/0850623567	1
FTTB/0850624940	4
FTTB/0850625116	1
FTTB/0850625421	1
FTTB/0850626429	3
FTTB/0850630413	1
FTTB/0850631357	1
FTTB/0850632312	1
FTTB/0850632317	1
FTTB/0850632414	1
FTTB/0850633135	1
FTTB/0850634437	1
FTTB/0850634505	1
FTTB/0850634849	1
FTTB/0850635272	1
FTTB/0850640035	1
FTTB/0850640235	2
FTTB/0850640410	2
FTTB/0850640866	1
FTTB/0850644192	1
FTTB/0850646173	4
FTTB/0850647441	1
FTTB/0850647474	1
FTTB/0850649071	1
FTTB/0850650101	1
FTTB/0850650787	1
FTTB/0850651447	1
FTTB/0850651724	1
FTTB/0850654314	1
FTTB/0850654430	1
FTTB/0850654572	1
FTTB/0850654577	1
FTTB/0850658997	1
FTTB/0850659517	1
FTTB/0850660303	1
FTTB/0850661096	1
FTTB/0850661390	1
FTTB/0850661678	1
FTTB/0850662923	1
FTTB/0850663521	1
FTTB/0850663781	1
FTTB/0850664225	1
FTTB/0850664699	1
FTTB/0850664831	2
FTTB/0850664834	1
FTTB/0850666819	1
FTTB/0850668123	1
FTTB/0850668392	1
FTTB/0850668942	4
FTTB/0850669285	1
FTTB/0850669819	2
FTTB/0850670163	1
FTTB/0850671191	3
FTTB/0850672370	1
FTTB/0850672808	1
FTTB/0850674308	1
FTTB/0850675503	1
FTTB/0850678713	1
FTTB/0850680489	1
FTTB/0850681235	1
FTTB/0850681385	1
FTTB/0850682012	1
FTTB/0850682801	1
FTTB/0850686659	1
FTTB/0850687348	1
FTTB/0850687407	1
FTTB/0850687431	1
FTTB/0850688957	1
FTTB/0850689729	1
FTTB/0850690656	1
FTTB/0850690870	1
FTTB/0850692209	1
FTTB/0850692962	1
FTTB/0850693120	1
FTTB/0850693472	1
FTTB/0850695346	1
FTTB/0850696717	1
FTTB/0850698503	1
FTTB/0850699179	1
FTTB/0850704990	1
FTTB/0850706180	1
FTTB/0850706211	1
FTTB/0850706389	1
FTTB/0850706872	2
FTTB/0850707495	1
FTTB/0850708721	1
FTTB/0850708740	1
FTTB/0850708841	1
FTTB/0850710830	1
FTTB/0850711233	1
FTTB/0850712782	1
FTTB/0850712798	1
FTTB/0850714474	1
FTTB/0850714495	1
FTTB/0850714986	1
FTTB/0850715936	1
FTTB/0850718499	1
FTTB/0850903050	1
FTTB/0850903191	1
FTTB/0850908028	1
FTTB/0850913162	1
FTTB/0850913495	1
FTTB/0850913692	1
FTTB/0850918200	1
FTTB/0850928748	1
FTTB/0850943194	1
FTTB/0850945023	1
FTTB/0850945235	1
FTTB/0850948296	1
FTTB/0850949013	1
FTTB/0850950005	2
FTTB/0850955324	1
FTTB/0850959055	1
FTTB/0850959127	1
FTTB/0850960016	1
FTTB/0850960417	2
FTTB/0850969532	1
FTTB/0854044606	1
FTTB/0854044743	1
FTTB/0854044991	1
FTTB/0854046246	2
FTTB/0854046367	1
FTTB/0854046554	2
FTTB/0854046638	1
FTTB/0854046799	1
FTTB/0854047278	1
FTTB/0854047903	1
FTTB/0854048054	1
FTTB/0854048117	1
FTTB/0854050391	1
FTTB/0854051687	2
FTTB/0854052045	1
FTTB/0854052114	2
FTTB/0854052776	1
FTTB/0854054102	1
FTTB/0854054409	2
FTTB/0854055908	1
FTTB/0854056174	2
FTTB/0854057455	1
FTTB/0854057753	1
FTTB/0854058442	1
FTTB/0854058520	2
FTTB/0854059260	1
FTTB/0854060292	2
FTTB/0854060301	2
FTTB/0854061617	1
FTTB/0854062536	1
FTTB/0854063191	1
FTTB/0854063974	3
FTTB/0854064203	1
FTTB/0854064484	2
FTTB/0854064817	1
FTTB/0854064872	1
FTTB/0854065208	2
FTTB/0854065480	1
FTTB/0854065729	2
FTTB/0854067205	1
FTTB/0854069691	1
FTTB/0854069739	2
FTTB/0854069839	1
FTTB/0854069859	1
FTTB/0854071162	1
FTTB/0854071307	1
FTTB/0854071478	1
FTTB/0854071729	1
FTTB/0854072462	1
FTTB/0854072657	1
FTTB/0854073782	1
FTTB/0854074017	1
FTTB/0854075306	1
FTTB/0854075477	1
FTTB/0854076036	1
FTTB/0854076049	1
FTTB/0854077195	1
FTTB/0854077385	1
FTTB/0854078107	1
FTTB/0854078727	2
FTTB/0854078965	1
FTTB/0854079219	1
FTTB/0854079513	1
FTTB/0854080229	1
FTTB/0854081393	1
FTTB/0854082449	1
FTTB/0854082932	1
FTTB/0854083077	1
FTTB/0854083094	1
FTTB/0854083890	1
FTTB/0854083961	1
FTTB/0854148671	1
FTTB/0854159768	1
FTTB/0854160224	1
FTTB/0854168123	1
FTTB/0854302390	2
FTTB/0854302868	2
FTTB/0854304238	1
FTTB/0890000522	1
FTTB/0890001047	1
FTTB/0890002210	1
FTTB/0890004566	1
FTTB/0890004693	1
FTTB/0890005146	3
FTTB/0890005743	1
FTTB/0890005862	2
FTTB/0890005869	1
FTTB/0890026047	2
FTTB/0890026089	1
FTTB/0890027257	2
FTTB/0890028818	1
FTTB/0890028882	1
FTTB/0890028892	1
FTTB/0890029991	2
FTTB/0890030289	1
FTTB/0890030380	1
FTTB/0890030615	1
FTTB/0890030834	1
FTTB/0890031361	1
FTTB/0890031905	1
FTTB/0890032602	1
FTTB/0890032836	1
FTTB/0890032868	1
FTTB/0890034660	1
FTTB/0890035521	1
FTTB/0890036999	1
FTTB/0890038163	1
FTTB/0890039196	2
FTTB/0890039345	1
FTTB/0890040492	1
FTTB/0890041784	1
FTTB/0890043246	1
FTTB/0890043334	1
FTTB/0890044772	1
FTTB/0890045135	1
FTTB/0890045950	1
FTTB/0890046305	4
FTTB/0890046849	1
FTTB/0890046857	1
FTTB/0890047195	1
FTTB/0890047343	1
FTTB/0890048447	3
FTTB/0890048584	1
FTTB/0890048666	1
FTTB/0890048684	2
FTTB/0890048926	1
FTTB/0890049750	1
FTTB/0890050839	1
FTTB/0890051167	1
FTTB/0890051707	1
FTTB/0890052861	1
FTTB/0890053021	1
FTTB/0890053614	1
FTTB/0890054030	1
FTTB/0890054423	1
FTTB/0890054882	1
FTTB/0890055298	1
FTTB/0890055302	1
FTTB/0890055605	3
FTTB/0890056398	1
FTTB/0890056474	1
FTTB/0890057437	2
FTTB/0890057895	2
FTTB/0890072550	1
FTTB/0890075147	1
FTTB/0890075267	1
FTTB/0890077036	1
FTTB/0890077566	1
FTTB/0890078632	1
FTTB/0890079080	1
FTTB/0890080840	1
FTTB/0890080977	1
FTTB/0890081341	1
FTTB/0890084017	1
FTTB/0890084152	1
FTTB/0890086409	1
FTTB/0890087596	1
FTTB/0890087719	3
FTTB/0890088712	1
FTTB/0890168445	2
FTTB/0890169299	1
FTTB/0890171435	1
FTTB/0890171637	1
FTTB/0890173309	1
FTTB/0890173365	1
FTTB/0890175216	1
FTTB/0890176093	2
FTTB/0890178578	1
FTTB/0890178989	1
FTTB/0890179228	2
FTTB/0890181076	1
FTTB/0890182912	1
FTTB/0890183660	1
FTTB/0890184825	1
FTTB/0890185049	2
FTTB/0890185148	2
FTTB/0890185941	1
FTTB/0890186237	2
FTTB/0890186483	2
FTTB/0890186561	1
FTTB/0890187148	1
FTTB/0890188397	2
FTTB/0890189197	1
FTTB/0890189391	1
FTTB/0890190481	3
FTTB/0890195092	2
FTTB/0890200009	1
FTTB/0890200179	1
FTTB/0890202027	1
FTTB/0890202193	2
FTTB/0890202227	2
FTTB/0890202292	1
FTTB/0890203072	1
FTTB/0890203369	1
FTTB/0890203468	1
FTTB/0890204534	1
FTTB/0890206341	1
FTTB/0890206453	1
FTTB/0890208366	1
FTTB/0890209123	1
FTTB/0890209335	1
FTTB/0890209431	2
FTTB/0890210146	1
FTTB/0890211936	1
FTTB/0890212829	1
FTTB/0890212847	1
FTTB/0890213065	1
FTTB/0890213073	1
FTTB/0890214014	1
FTTB/0890216970	1
FTTB/0890217252	1
FTTB/0890217371	1
FTTB/0890218348	1
FTTB/0890218414	1
FTTB/0890218478	1
FTTB/0890219343	1
FTTB/0890221000	1
FTTB/0890221262	1
FTTB/0890221746	1
FTTB/0890223172	1
FTTB/0890223345	1
FTTB/0890223481	1
FTTB/0890224188	1
FTTB/0890225597	1
FTTB/0890226406	2
FTTB/0890226609	1
FTTB/0890227716	1
FTTB/0890228577	1
FTTB/0890229669	1
FTTB/0890230154	1
FTTB/0890230177	1
FTTB/0890230796	1
FTTB/0890231163	1
FTTB/0890234339	1
FTTB/0890237046	1
FTTB/0890237936	1
FTTB/0890289081	1
FTTB/0890289372	1
FTTB/0890290735	1
FTTB/0890290754	1
FTTB/0890292240	1
FTTB/0890294782	1
FTTB/0890294872	2
FTTB/0890294911	1
FTTB/0890295641	1
FTTB/0890296612	1
FTTB/0890296868	1
FTTB/0890297663	2
FTTB/0890298616	1
FTTB/0890298885	1
FTTB/0890301539	1
FTTB/0890302274	1
FTTB/0890303403	1
FTTB/0890303640	1
FTTB/0890304658	1
FTTB/0890305021	1
FTTB/0890305294	1
FTTB/0890305386	1
FTTB/0890305440	1
FTTB/0890305789	1
FTTB/0890306047	1
FTTB/0890306168	1
FTTB/0890306269	1
FTTB/0890306785	2
FTTB/0890307483	1
FTTB/0890308028	1
FTTB/0890308376	1
FTTB/0890309100	1
FTTB/0890309238	1
FTTB/0890310277	1
FTTB/0890310748	1
FTTB/0890313108	1
FTTB/0890313434	1
FTTB/0890313584	1
FTTB/0890313603	1
FTTB/0890313837	1
FTTB/0890314128	1
FTTB/0890314341	1
FTTB/0890314971	1
FTTB/0890315153	1
FTTB/0890315784	1
FTTB/0890316210	1
FTTB/0890316597	1
FTTB/0890316813	1
FTTB/0890317690	1
FTTB/0890318356	1
FTTB/0890318586	1
FTTB/0890319586	1
FTTB/0890319728	1
FTTB/0890320918	1
FTTB/0890321059	1
FTTB/0890322315	1
FTTB/0890322459	1
FTTB/0890323669	1
FTTB/0890324017	4
FTTB/0890324589	1
FTTB/0890325491	1
FTTB/0890326550	1
FTTB/0890327124	1
FTTB/0890328317	1
FTTB/0890328483	2
FTTB/0890329176	1
FTTB/0890388035	1
FTTB/0890390780	1
FTTB/0890392744	1
FTTB/0890393025	1
FTTB/0890394922	2
FTTB/0890395017	1
FTTB/0890395411	1
FTTB/0890395524	1
FTTB/0890395689	1
FTTB/0890397023	1
FTTB/0890397849	1
FTTB/0890398391	2
FTTB/0890400137	1
FTTB/0890400357	1
FTTB/0890401494	1
FTTB/0890405180	1
FTTB/0890406974	3
FTTB/0890407738	1
FTTB/0890411000	1
FTTB/0890412277	1
FTTB/0890413113	1
FTTB/0890414319	1
FTTB/0890414930	1
FTTB/0890416334	1
FTTB/0890416573	1
FTTB/0890417502	2
FTTB/0890418323	1
FTTB/0890418858	1
FTTB/0890419624	1
FTTB/0890419660	1
FTTB/0890419689	1
FTTB/0890420141	1
FTTB/0890420368	2
FTTB/0890420824	1
FTTB/0890420950	1
FTTB/0890421704	1
FTTB/0890422253	2
FTTB/0890422478	1
FTTB/0890423440	1
FTTB/0890424241	1
FTTB/0890424399	1
FTTB/0890425128	1
FTTB/0890425150	1
FTTB/0890425325	1
FTTB/0890426366	1
FTTB/0890427069	1
FTTB/0890427149	2
FTTB/0890427199	1
FTTB/0890430362	1
FTTB/0890431069	1
FTTB/0890432377	1
FTTB/0890432415	1
FTTB/0890432895	1
FTTB/0890433157	1
FTTB/0890433543	1
FTTB/0890433600	1
FTTB/0890433689	1
FTTB/0890433821	1
FTTB/0890434001	1
FTTB/0890434042	1
FTTB/0890434492	1
FTTB/0890435271	1
FTTB/0890435357	1
FTTB/0890435906	2
FTTB/0890435951	1
FTTB/0890436451	3
FTTB/0890436729	1
FTTB/0890437553	1
FTTB/0890437904	1
FTTB/0890437930	1
FTTB/0890438198	1
FTTB/0890438236	1
FTTB/0890438251	1
FTTB/0890438337	2
FTTB/0890438904	1
FTTB/0890439441	1
FTTB/0890439825	3
FTTB/0890440171	1
FTTB/0890441160	1
FTTB/0890441180	1
FTTB/0890441294	2
FTTB/0890442285	1
FTTB/0890442307	1
FTTB/0890442318	1
FTTB/0890442491	1
FTTB/0890442891	1
FTTB/0890442900	2
FTTB/0890443257	1
FTTB/0890443470	2
FTTB/0890444168	1
FTTB/0890444697	1
FTTB/0890444760	1
FTTB/0890444883	1
FTTB/0890445152	1
FTTB/0890445182	1
FTTB/0890445591	2
FTTB/0890445772	1
FTTB/0890446078	1
FTTB/0890446519	1
FTTB/0890446941	1
FTTB/0890448038	1
FTTB/0890448305	1
FTTB/0890448524	1
FTTB/0890448665	1
FTTB/0890449030	2
FTTB/0890449169	1
FTTB/0890449219	1
FTTB/0890449748	1
FTTB/0890449865	3
FTTB/0890450261	1
FTTB/0890450319	1
FTTB/0890450505	1
FTTB/0890450698	1
FTTB/0890450716	1
FTTB/0890450862	1
FTTB/0890451003	2
FTTB/0890451551	1
FTTB/0890451699	1
FTTB/0890451891	3
FTTB/0890452217	1
FTTB/0890452223	1
FTTB/0890452471	1
FTTB/0890452747	1
FTTB/0890452795	1
FTTB/0890452799	1
FTTB/0890453246	1
FTTB/0890453463	1
FTTB/0890453682	1
FTTB/0890454283	1
FTTB/0890454751	1
FTTB/0890455003	1
FTTB/0890455273	1
FTTB/0890456278	2
FTTB/0890457116	1
FTTB/0890457415	1
FTTB/0890457574	1
FTTB/0890457753	1
FTTB/0890458764	1
FTTB/0890459319	1
FTTB/0890459367	1
FTTB/0890459835	1
FTTB/0890460098	1
FTTB/0890460657	1
FTTB/0890461241	1
FTTB/0890461564	1
FTTB/0890461724	3
FTTB/0890462668	1
FTTB/0890462819	1
FTTB/0890462937	1
FTTB/0890463246	2
FTTB/0890463973	1
FTTB/0890464643	1
FTTB/0890465343	1
FTTB/0890467942	1
FTTB/0890468181	2
FTTB/0890468523	1
FTTB/0890468721	3
FTTB/0890468746	1
FTTB/0890468824	1
FTTB/0890469061	1
FTTB/0890469087	2
FTTB/0890469523	1
FTTB/0890470539	1
FTTB/0890471035	1
FTTB/0890471312	1
FTTB/0890471385	1
FTTB/0890471754	1
FTTB/0890473279	1
FTTB/0890473542	1
FTTB/0890473692	1
FTTB/0890475011	1
FTTB/0890476219	1
FTTB/0890476250	1
FTTB/0890476415	1
FTTB/0890476461	1
FTTB/0890476462	1
FTTB/0890476852	1
FTTB/0890477176	1
FTTB/0890477532	1
FTTB/0890477667	1
FTTB/0890479072	1
FTTB/0890479161	1
FTTB/0890479724	1
FTTB/0890479895	1
FTTB/0890480043	1
FTTB/0890480070	1
FTTB/0890480238	1
FTTB/0890480371	1
FTTB/0890482576	1
FTTB/0890483146	1
FTTB/0890483749	1
FTTB/0890484311	1
FTTB/0890484460	1
FTTB/0890485072	1
FTTB/0890485386	1
FTTB/0890485823	2
FTTB/0890486285	1
FTTB/0890486520	1
FTTB/0890486553	1
FTTB/0890486673	1
FTTB/0890487075	1
FTTB/0890487328	1
FTTB/0890488252	2
FTTB/0890488373	1
FTTB/0890488391	1
FTTB/0890488671	1
FTTB/0890489871	1
FTTB/0890491148	1
FTTB/0890491222	1
FTTB/0890491282	1
FTTB/0890491520	2
FTTB/0890491893	1
FTTB/0890493424	1
FTTB/0890493427	1
FTTB/0890493670	1
FTTB/0890494634	1
FTTB/0890495057	1
FTTB/0890495499	1
FTTB/0890495693	1
FTTB/0890496323	1
FTTB/0890497807	1
FTTB/0890498076	1
FTTB/0890498716	2
FTTB/0890498973	1
FTTB/0890499178	1
FTTB/0890499942	1
FTTB/0890500861	2
FTTB/0890500915	1
FTTB/0890501127	1
FTTB/0890501249	1
FTTB/0890501300	1
FTTB/0890501415	1
FTTB/0890501537	1
FTTB/0890501899	1
FTTB/0890502723	1
FTTB/0890502842	2
FTTB/0890502927	1
FTTB/0890503640	1
FTTB/0890504179	1
FTTB/0890504495	1
FTTB/0890504556	1
FTTB/0890505102	1
FTTB/0890505365	1
FTTB/0890505703	1
FTTB/0890505706	1
FTTB/0890506325	1
FTTB/0890506735	1
FTTB/0890507330	1
FTTB/0890508405	1
FTTB/0890508433	3
FTTB/0890509647	1
FTTB/0890511437	1
FTTB/0890511936	1
FTTB/0890511966	1
FTTB/0890514077	1
FTTB/0890515026	1
FTTB/0890515651	1
FTTB/0890515919	1
FTTB/0890517236	1
FTTB/0890517895	1
FTTB/0890517989	1
FTTB/0890518677	1
FTTB/0890519243	1
FTTB/0890519923	1
FTTB/0890521275	1
FTTB/0890521672	1
FTTB/0890522121	1
FTTB/0890522410	1
FTTB/0890522487	1
FTTB/0890522691	1
FTTB/0890523036	1
FTTB/0890523671	4
FTTB/0890524444	1
FTTB/0890524788	1
FTTB/0890525899	1
FTTB/0890526234	1
FTTB/0890526551	1
FTTB/0890527021	1
FTTB/0890528054	1
FTTB/0890528074	1
FTTB/0890529756	1
FTTB/0890530235	1
FTTB/0890530839	1
FTTB/0890531765	1
FTTB/0890532158	1
FTTB/0890532566	2
FTTB/0890532659	1
FTTB/0890532847	2
FTTB/0890533127	1
FTTB/0890533820	1
FTTB/0890534176	1
FTTB/0890534238	2
FTTB/0890534359	1
FTTB/0890534855	1
FTTB/0890534910	1
FTTB/0890536353	1
FTTB/0890537207	1
FTTB/0890537281	2
FTTB/0890537416	2
FTTB/0890537504	1
FTTB/0890537677	1
FTTB/0890537752	1
FTTB/0890538287	1
FTTB/0890538312	1
FTTB/0890539305	1
FTTB/0890539502	2
FTTB/0890540025	1
FTTB/0890540383	1
FTTB/0890542166	1
FTTB/0890543759	1
FTTB/0890544395	1
FTTB/0890545070	1
FTTB/0890547418	1
FTTB/0890547716	1
FTTB/0890547766	1
FTTB/0890547917	1
FTTB/0890548102	1
FTTB/0890548878	1
FTTB/0890549863	1
FTTB/0890550552	1
FTTB/0890550722	1
FTTB/0890551072	1
FTTB/0890551718	1
FTTB/0890551798	3
FTTB/0890552636	1
FTTB/0890552694	2
FTTB/0890554223	1
FTTB/0890554429	1
FTTB/0890554601	1
FTTB/0890555100	1
FTTB/0890556696	2
FTTB/0890556779	1
FTTB/0890557217	1
FTTB/0890557919	2
FTTB/0890558952	2
FTTB/0890560118	2
FTTB/0890560369	1
FTTB/0890561040	3
FTTB/0890562399	1
FTTB/0890562897	1
FTTB/0890562998	1
FTTB/0890563140	1
FTTB/0890563980	1
FTTB/0890564374	1
FTTB/0890564851	2
FTTB/0890566497	1
FTTB/0890566839	1
FTTB/0890566989	3
FTTB/0890568075	1
FTTB/0890568322	2
FTTB/0890568480	1
FTTB/0890568671	1
FTTB/0890568828	1
FTTB/0890569102	1
FTTB/0890569630	1
FTTB/0890569959	1
FTTB/0890570893	1
FTTB/0890572309	1
FTTB/0890573839	1
FTTB/0890576726	1
FTTB/0890577293	1
FTTB/0890577399	1
FTTB/0890577585	1
FTTB/0890578243	1
FTTB/0890579084	1
FTTB/0890580583	1
FTTB/0890580628	1
FTTB/0890580806	1
FTTB/0890580871	1
FTTB/0890583369	1
FTTB/0890583385	1
FTTB/0890583850	1
FTTB/0890584594	1
FTTB/0890585087	1
FTTB/0890585781	1
FTTB/0890586990	1
FTTB/0890587504	1
FTTB/0890587980	1
FTTB/0890592236	1
FTTB/0890592598	1
FTTB/0890592797	1
FTTB/0890593520	1
FTTB/0890596361	2
FTTB/0890597507	1
FTTB/0890597671	1
FTTB/0890598140	1
FTTB/0890599120	1
FTTB/0890600602	1
FTTB/0890600937	1
FTTB/0890601206	1
FTTB/0890601430	1
FTTB/0890601442	1
FTTB/0890601626	1
FTTB/0890602173	2
FTTB/0890602254	1
FTTB/0890602459	1
FTTB/0890603992	1
FTTB/0890605806	1
FTTB/0890606182	1
FTTB/0890606588	1
FTTB/0890606638	1
FTTB/0890606670	1
FTTB/0890607057	1
FTTB/0890607245	1
FTTB/0890608004	1
FTTB/0890608387	1
FTTB/0890608536	1
FTTB/0890608879	1
FTTB/0890609169	1
FTTB/0890609564	1
FTTB/0890609919	1
FTTB/0890612360	1
FTTB/0890613103	1
FTTB/0890613139	1
FTTB/0890614165	1
FTTB/0890614816	1
FTTB/0890614950	1
FTTB/0890615104	1
FTTB/0890615424	1
FTTB/0890615794	1
FTTB/0890617002	1
FTTB/0890617529	1
FTTB/0890617625	1
FTTB/0890619006	2
FTTB/0890619429	3
FTTB/0890619498	1
FTTB/0890619705	1
FTTB/0890621647	4
FTTB/0890622034	1
FTTB/0890622655	1
FTTB/0890622771	1
FTTB/0890623102	2
FTTB/0890623849	1
FTTB/0890624038	1
FTTB/0890624892	1
FTTB/0890624947	1
FTTB/0890625152	1
FTTB/0890626384	1
FTTB/0890627064	1
FTTB/0890627096	1
FTTB/0890627177	1
FTTB/0890627731	1
FTTB/0890627801	1
FTTB/0890628340	1
FTTB/0890628435	2
FTTB/0890629411	2
FTTB/0890630922	1
FTTB/0890631388	1
FTTB/0890632344	1
FTTB/0890632370	1
FTTB/0890633049	1
FTTB/0890633547	1
FTTB/0890634478	1
FTTB/0890634841	1
FTTB/0890636574	1
FTTB/0890636738	1
FTTB/0890636923	2
FTTB/0890638145	1
FTTB/0890638509	2
FTTB/0890638528	1
FTTB/0890639143	1
FTTB/0890640207	1
FTTB/0890640251	1
FTTB/0890640257	1
FTTB/0890640365	1
FTTB/0890641701	1
FTTB/0890642110	1
FTTB/0890642561	1
FTTB/0890643305	1
FTTB/0890644723	1
FTTB/0890646310	1
FTTB/0890648261	3
FTTB/0890648935	1
FTTB/0890650386	1
FTTB/0890650800	1
FTTB/0890651182	2
FTTB/0890651545	1
FTTB/0890651900	1
FTTB/0890652973	1
FTTB/0890653474	1
FTTB/0890653549	1
FTTB/0890654063	1
FTTB/0890655012	1
FTTB/0890655414	1
FTTB/0890655877	1
FTTB/0890656648	1
FTTB/0890657864	1
FTTB/0890657873	2
FTTB/0890658599	1
FTTB/0890658746	1
FTTB/0890659410	1
FTTB/0890659724	1
FTTB/0890660326	1
FTTB/0890661601	1
FTTB/0890662050	1
FTTB/0890662806	1
FTTB/0890663179	2
FTTB/0890663559	3
FTTB/0890663731	1
FTTB/0890665692	2
FTTB/0890666288	1
FTTB/0890667235	1
FTTB/0890668912	1
FTTB/0890669888	1
FTTB/0890671564	2
FTTB/0890671641	1
FTTB/0890671875	1
FTTB/0890672292	1
FTTB/0890673521	1
FTTB/0890674160	1
FTTB/0890674670	1
FTTB/0890674849	1
FTTB/0890675550	1
FTTB/0890675792	2
FTTB/0890675811	1
FTTB/0890675863	1
FTTB/0890675975	1
FTTB/0890676063	1
FTTB/0890676159	2
FTTB/0890677626	1
FTTB/0890677867	1
FTTB/0890677961	1
FTTB/0890679349	1
FTTB/0890679947	1
FTTB/0890680730	2
FTTB/0890681324	1
FTTB/0890681652	1
FTTB/0890682176	1
FTTB/0890682596	1
FTTB/0890682966	1
FTTB/0890684106	1
FTTB/0890684522	1
FTTB/0890684690	1
FTTB/0890685070	1
FTTB/0890685600	2
FTTB/0890686886	1
FTTB/0890686908	3
FTTB/0890688087	1
FTTB/0890689364	1
FTTB/0890689861	1
FTTB/0890691219	1
FTTB/0890691549	1
FTTB/0890691798	1
FTTB/0890691835	4
FTTB/0890692506	1
FTTB/0890693149	1
FTTB/0890693406	3
FTTB/0890694602	2
FTTB/0890694847	1
FTTB/0890695221	1
FTTB/0890697947	1
FTTB/0890698247	1
FTTB/0890698478	1
FTTB/0890700001	1
FTTB/0890700520	1
FTTB/0890700875	1
FTTB/0890700942	1
FTTB/0890701703	1
FTTB/0890701815	1
FTTB/0890701827	1
FTTB/0890702405	1
FTTB/0890703990	1
FTTB/0890703994	1
